Description,Price,Rating,ReviewCount,Url
Men's Regular-Fit Quick-Dry Golf Polo Shirt,$15.90,4.5,"27,040",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01557081GREQUELUW7LP&url=%2FAmazon-Essentials-Regular-Fit-Quick-Dry-X-Large%2Fdp%2FB07F1CYQ7N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmens%2Bshirts%26qid%3D1655264378%26sr%3D8-1-spons%26psc%3D1&qualifier=1655264378&id=578160062428145&widgetName=sp_atf
"Men's Crew T-Shirts, Multipack",$15.00,4.6,"211,737",https://www.amazon.com/Gildan-Mens-T-Shirt-Assortment-X-Large/dp/B077ZJXCTS/ref=sr_1_2?keywords=mens+shirts&qid=1655264378&sr=8-2
5 Pack Men’s Active Quick Dry Crew Neck T Shirts | Athletic Running Gym Workout Short Sleeve Tee Tops Bulk,$39.95,4.6,"20,500",https://www.amazon.com/Active-Shirts-Athletic-Running-Workout/dp/B07VTSD48H/ref=sr_1_3?keywords=mens+shirts&qid=1655264378&sr=8-3
Men's Tech Golf Polo,$22.33,4.7,"36,237",https://www.amazon.com/Under-Armour-Midnight-Graphite-X-Large/dp/B01GH5JPH0/ref=sr_1_4?keywords=mens+shirts&qid=1655264378&sr=8-4
"T-Shirt, Classic Unisex Cotton T-Shirt, ""C"" Logo, Regular Fit Crewneck Tee, ""C"" Logo, Classic Cotton ""C"" Logo Tee",$11.20,4.5,"22,862",https://www.amazon.com/Champion-Classic-Jersey-T-Shirt-Oxford/dp/B01MSVTI53/ref=sr_1_5?keywords=mens+shirts&qid=1655264378&sr=8-5
Men's Polo Shirt Quick Dry Performance Long and Short Sleeve Tactical Shirts Pique Jersey Golf Shirt,$21.98,4.3,"12,603",https://www.amazon.com/MAGCOMSEN-Shirts-Sleeve-Buttons-Tactical/dp/B07TF75KXT/ref=sr_1_6?keywords=mens+shirts&qid=1655264378&sr=8-6
Men's Classic Fit Short Sleeve Dual Tipped Collar Polo Shirt,$24.99,4.5,"6,274",https://www.amazon.com/Nautica-Classic-Sleeve-Tipped-X-Large/dp/B07HRHK1V2/ref=sr_1_7?keywords=mens+shirts&qid=1655264378&sr=8-7
Men's Regular-Fit Quick-Dry Golf Polo Shirt,$15.90,4.5,"27,040",https://www.amazon.com/Amazon-Essentials-Regular-Fit-Quick-Dry-X-Large/dp/B07XF7QXRF/ref=sr_1_8?keywords=mens+shirts&qid=1655264378&sr=8-8
Mens Loose Fit Heavyweight Short-sleeve Pocket T-shirt,$16.99,4.6,"73,558",https://www.amazon.com/Carhartt-Workwear-Short-Sleeve-T-Shirt-X-Large/dp/B000CD3JQ2/ref=sr_1_9?keywords=mens+shirts&qid=1655264378&sr=8-9
Men's Dress Shirt Regular Fit Poplin Solid,$27.50,4.5,"24,508",https://www.amazon.com/Van-Heusen-Poplin-Regular-Collar/dp/B009ESZFGI/ref=sr_1_10?keywords=mens+shirts&qid=1655264378&sr=8-10
