JopTitle,CompName,CompLocation,PostDate,Description,JopURL
Data Scientist,กลุ่มบริษัทซีดีจี,กรุงเทพมหานคร,Posted30+ days ago,"Bachelor’s degree in science, engineering, or statistics accounting.",https://th.indeed.com/rc/clk?jk=f6f65520aaaa5148&fccid=6dd41f6e749f69e2&vjs=3
Intern - Climate Change,United Nations Development Programme (UNDP),กรุงเทพมหานคร,PostedToday,Good analytical skills in gathering and consolidating data and research for practical implementation;,https://th.indeed.com/rc/clk?jk=47aa42778cb7a2d2&fccid=a9a8bf2e786e3726&vjs=3
Data Scientist and Analytic Consultant,AIS,กรุงเทพมหานคร,Posted25 days ago,"Gathering and use the information in vast amounts of data from various sources, for generating and analyzing through data science processes such as machine…",https://th.indeed.com/rc/clk?jk=f0a9cf002944f7ed&fccid=fead2aac12ca6e14&vjs=3
Data Scientist,Sertis,กรุงเทพมหานคร,Posted30+ days ago,"Degree/Masters/Phd in data science, math, physics, computer science or related fields.",https://th.indeed.com/rc/clk?jk=26d392bf294eb71b&fccid=f51f93d2464700f0&vjs=3
Business and Data Analyst,PTTEP,กรุงเทพมหานคร,Posted30+ days ago,"Experience in any ETL, data mart, data warehouse, data modeling design;",https://th.indeed.com/rc/clk?jk=836faa23f5d4de88&fccid=65adac373098234a&vjs=3
Business and Data Analyst,PTTEP,กรุงเทพมหานคร,Posted30+ days ago,"Experience in any ETL, data mart, data warehouse, data modeling design;",https://th.indeed.com/rc/clk?jk=836faa23f5d4de88&fccid=65adac373098234a&vjs=3
Data Engineer,KLeasing,กรุงเทพมหานคร,Posted22 days ago,"Work with business domain experts, data scientists and application developers to identify data that is relevant for analysis.",https://th.indeed.com/rc/clk?jk=5310dda8115a6f54&fccid=05f8d282dd7557dd&vjs=3
Data Analytics,บริษัท นิภา เทคโนโลยี จำกัด,"บางรัก, กรุงเทพมหานคร",Posted30+ days ago,Setup tracking code and aggregate data from websites and online marketing campaign.,https://th.indeed.com/rc/clk?jk=34130c1f0d9504ef&fccid=02f2651c98c73ce8&vjs=3
Data Scientist / Data Analyst,Textile Prestige PCL,กรุงเทพมหานคร,Posted30+ days ago,Manage and ensure the reliability of data in Corporate database.,https://th.indeed.com/rc/clk?jk=ba21374373ac786e&fccid=b3ec0515112230bb&vjs=3
Business Strategist (Data Analytics),KBANK,กรุงเทพมหานคร,Posted30+ days ago,วิเคราะห์ข้อมูลลูกค้า (high-net-worth individuals (>50MB wealth)) จากฐานข้อมูลทั้งภายในและภายนอกธนาคารเพื่อทำความเข้าใจพฤติกรรมของลูกค้า.,https://th.indeed.com/rc/clk?jk=90d11e027d87128a&fccid=944d84bae93a0556&vjs=3
Data Scientist,Coda Payments,กรุงเทพมหานคร,Posted12 days ago,"You will be working closely with the Marketing, Product, Risk, Finance and Business Development teams to apply statistical modeling and machine learning…",https://th.indeed.com/rc/clk?jk=a1b0448a1a9cc9ef&fccid=734ef7de91560d87&vjs=3
Data Scientist,Coda Payments,กรุงเทพมหานคร,Posted12 days ago,"You will be working closely with the Marketing, Product, Risk, Finance and Business Development teams to apply statistical modeling and machine learning…",https://th.indeed.com/rc/clk?jk=a1b0448a1a9cc9ef&fccid=734ef7de91560d87&vjs=3
Data Scientist and Analytic Consultant,Advanced Info Service Plc.,กรุงเทพมหานคร,Posted4 days ago,"Technical expertise regarding data modeling, data mining, segmentation techniques, unstructured data skills, and other data science.",https://th.indeed.com/rc/clk?jk=9d2e35ad0081c5fd&fccid=7c95bcfbef85b3a3&vjs=3
"Freelance- Translators/Linguists, English into Thai",IQVIA,Thailand,Posted30+ days ago,"At least 1 year of experience translating, reviewing and editing life sciences content including clinical trial documents.",https://th.indeed.com/rc/clk?jk=69318ff09f605093&fccid=6b7a1dfe07e7f037&vjs=3
"Research Fellow: Gender, Environment and Development",Stockholm Environment Institute,กรุงเทพมหานคร,Posted15 days ago,"Generate high quality peer-reviewed science publications from research, as well as communications for policy and public audiences.",https://th.indeed.com/rc/clk?jk=53cd23c8866d1d50&fccid=d9bf3d2728a3943d&vjs=3
"Vice President, Data Protection Governance-Thailand",Lazada,Thailand,Posted6 days ago,As a data protection specialist you will drive a high standard for data protection controls across the organization to drive compliance to data protection…,https://th.indeed.com/rc/clk?jk=f36067c6eb2ed563&fccid=b51a5102a67e0022&vjs=3
Data Scient,บริษัท วินเกม คอร์ปอเรชั่น จำกัด,"บึงกุ่ม, กรุงเทพมหานคร",Posted30+ days ago,พัฒนาโครงการด้วยเทคโนโลยี Internet of Things เพื่อพัฒนางานเก็บและบันทึกข้อมูลต่างๆ จากพื้นที่ทำงานอย่างมีประสิทธิภาพ.,https://th.indeed.com/rc/clk?jk=8d56c36571b8f5b5&fccid=4db98a04243f721a&vjs=3
Data Scient,บริษัท วินเกม คอร์ปอเรชั่น จำกัด,"บึงกุ่ม, กรุงเทพมหานคร",Posted30+ days ago,พัฒนาโครงการด้วยเทคโนโลยี Internet of Things เพื่อพัฒนางานเก็บและบันทึกข้อมูลต่างๆ จากพื้นที่ทำงานอย่างมีประสิทธิภาพ.,https://th.indeed.com/rc/clk?jk=8d56c36571b8f5b5&fccid=4db98a04243f721a&vjs=3
Data Scientist,กลุ่มบริษัทซีดีจี,กรุงเทพมหานคร,Posted30+ days ago,"Bachelor’s degree in science, engineering, or statistics accounting.",https://th.indeed.com/rc/clk?jk=f6f65520aaaa5148&fccid=6dd41f6e749f69e2&vjs=3
Intern - Climate Change,United Nations Development Programme (UNDP),กรุงเทพมหานคร,PostedToday,Good analytical skills in gathering and consolidating data and research for practical implementation;,https://th.indeed.com/rc/clk?jk=47aa42778cb7a2d2&fccid=a9a8bf2e786e3726&vjs=3
Data Scientist and Analytic Consultant,AIS,กรุงเทพมหานคร,Posted25 days ago,"Gathering and use the information in vast amounts of data from various sources, for generating and analyzing through data science processes such as machine…",https://th.indeed.com/rc/clk?jk=f0a9cf002944f7ed&fccid=fead2aac12ca6e14&vjs=3
Data Scientist,Sertis,กรุงเทพมหานคร,Posted30+ days ago,"Degree/Masters/Phd in data science, math, physics, computer science or related fields.",https://th.indeed.com/rc/clk?jk=26d392bf294eb71b&fccid=f51f93d2464700f0&vjs=3
Business and Data Analyst,PTTEP,กรุงเทพมหานคร,Posted30+ days ago,"Experience in any ETL, data mart, data warehouse, data modeling design;",https://th.indeed.com/rc/clk?jk=836faa23f5d4de88&fccid=65adac373098234a&vjs=3
Business and Data Analyst,PTTEP,กรุงเทพมหานคร,Posted30+ days ago,"Experience in any ETL, data mart, data warehouse, data modeling design;",https://th.indeed.com/rc/clk?jk=836faa23f5d4de88&fccid=65adac373098234a&vjs=3
Data Engineer,KLeasing,กรุงเทพมหานคร,Posted22 days ago,"Work with business domain experts, data scientists and application developers to identify data that is relevant for analysis.",https://th.indeed.com/rc/clk?jk=5310dda8115a6f54&fccid=05f8d282dd7557dd&vjs=3
Data Analytics,บริษัท นิภา เทคโนโลยี จำกัด,"บางรัก, กรุงเทพมหานคร",Posted30+ days ago,Setup tracking code and aggregate data from websites and online marketing campaign.,https://th.indeed.com/rc/clk?jk=34130c1f0d9504ef&fccid=02f2651c98c73ce8&vjs=3
