JopTitle,CompName,CompLocation,PostDate,Description,JopURL
Talent Acquisition Support,PwC,กรุงเทพมหานคร,Posted7 days ago,"Our team actively recruits for full time employees at all levels, from experienced to executive, as well as fixed term, contingent, and flexible talent and…",https://th.indeed.com/rc/clk?jk=2e2bea387f5ad637&fccid=5e964c4afc56b180&vjs=3
Application Support (Customer Service),Wealth Management System,"คลองสาน, กรุงเทพมหานคร",Posted30+ days ago,Perform problem analysis and provide application support.,https://th.indeed.com/rc/clk?jk=7918c55a5e4b33bb&fccid=5932a54c1affb6bc&vjs=3
IT support,บริษัทจัดหางาน เวิร์คเมท โซลูชั่นส์ จำกัด,"คลองเตย, กรุงเทพมหานคร",EmployerActive 2 days ago,"การแก้ไขปัญหาแอปพลิเคชันและทำงานร่วมกับทีมภายในหรือผู้ขายภายนอกเพื่อนำโซลูชันไปใช้การแก้ไขปัญหาทางเทคนิคที่หลากหลายผ่านระบบปฏิบัติการต่างๆ (macOS, IOS, Windows…",https://th.indeed.com/company/%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%A9%E0%B8%B1%E0%B8%97%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B9%80%E0%B8%A7%E0%B8%B4%E0%B8%A3%E0%B9%8C%E0%B8%84%E0%B9%80%E0%B8%A1%E0%B8%97-%E0%B9%82%E0%B8%8B%E0%B8%A5%E0%B8%B9%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%88%E0%B8%B3%E0%B8%81%E0%B8%B1%E0%B8%94/jobs/-76489d11617e45b9?fccid=625f6300eac71352&vjs=3
IT One - SAP SD support,Accenture,กรุงเทพมหานคร,Posted6 days ago,Join AM SLM to support SAP SD for SCG and others assignments.,https://th.indeed.com/rc/clk?jk=28680d7958886606&fccid=a4e4e2eaf26690c9&vjs=3
Regional Policy Support Officer,United Nations ESCAP,กรุงเทพมหานคร,Posted8 days ago,Framework; support coordination of migration policy related activities including.,https://th.indeed.com/rc/clk?jk=524ff63d89b1ed22&fccid=808e2935083ffe8b&vjs=3
Regional Policy Support Officer,United Nations ESCAP,กรุงเทพมหานคร,Posted8 days ago,Framework; support coordination of migration policy related activities including.,https://th.indeed.com/rc/clk?jk=524ff63d89b1ed22&fccid=808e2935083ffe8b&vjs=3
IT Support,"IC Web Co., Ltd.","วังทองหลาง, กรุงเทพมหานคร",Posted30+ days ago,Provide technical assistance with computer hardware and software.,https://th.indeed.com/rc/clk?jk=e9216173bc8dca78&fccid=d54185f1f0fe8e91&vjs=3
Client Support,DST Systems,กรุงเทพมหานคร,PostedJust posted,Acts as helpdesk for application support (Trading System).,https://th.indeed.com/rc/clk?jk=d7bba06b3ac21357&fccid=e02be59e87cd229c&vjs=3
IT Support,Saraff Global,กรุงเทพมหานคร,Posted30+ days ago,"Provide support to end users on a variety of technical issues (e.g. computer virus information IT system maintenance plans, etc.",https://th.indeed.com/rc/clk?jk=a2f54ba405df5e9f&fccid=9b9f07f50a119d62&vjs=3
IT support,"Mag Mag Co.,ltd.",กรุงเทพมหานคร,Posted8 days ago,"สามารถติดตั้งและแก้ไขปัญหาระบบ MS Windows, Office, Network, Antivirus, Mail Client รวมถึง Hardware ต่างๆ.",https://th.indeed.com/rc/clk?jk=ad73584e599f9e8e&fccid=dd616958bd9ddc12&vjs=3
