Headline,Author,PostDate,Content,URL
Should NFT Investors Keep or Sell Their Non-Fungible Tokens in a Bear Market?,GOBankingRates via Yahoo Finance,· 16 hours ago,"Just as the stock market entered a bear market in mid-June, the crypto and NFT markets have also...",https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA0l3QtDMD;_ylu=Y29sbwNncTEEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fnft-investors-keep-sell-non-113010154.html%3ffr%3dsycsrp_catchall/RK=2/RS=c8VG_tN_htcjNcPT4CVmGfO22ZI-
Takashi Murakami releases new NFTs a week after apologizing to his previous NFT investors for...,NextShark via Yahoo News,· 3 hours ago,"While its current floor price of 0.74 ETH (approximately $1,111) sounds impressive, Murakami was...",https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA1F3QtDMD;_ylu=Y29sbwNncTEEcG9zAzIEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2fnews.yahoo.com%2ftakashi-murakami-releases-nfts-week-003856593.html%3ffr%3dsycsrp_catchall/RK=2/RS=pVnvdyaSCzNo4c6Zz.DkljdW21w-
How to Buy Your First NFT on a Marketplace: A Tutorial for Beginners!,CryptoNewsZ.com,· 14 hours ago,"The NFT market is full of great deals right now, with serious discounts on NFT art, games, and...",https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA1l3QtDMD;_ylu=Y29sbwNncTEEcG9zAzMEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2fwww.cryptonewsz.com%2fhow-to-buy-your-first-nft-on-a-marketplace-a-tutorial-for-beginners%2f/RK=2/RS=wijTqkms2B4SWenCIXpRb0frW3A-
NFT Fund Starry Night Goes Dark on SuperRare,The Defiant via Yahoo Finance,· 5 hours ago,"That fund, Starry Night Capital, launched last summer with backing from Three Arrows. Famed NFT collector Vincent Van Dough was brought on as a partner...",https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA2F3QtDMD;_ylu=Y29sbwNncTEEcG9zAzQEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fnft-fund-starry-night-goes-220638854.html%3ffr%3dsycsrp_catchall/RK=2/RS=P25ohTESJuVlZpxTUb79yr6PDlU-
TYGA Drops His Highly Anticipated Pharaoh-Inspired NFT Collection 17 June 2022 (5 pm BST),Morningstar,· 6 hours ago,"LONDON, England, June 16, 2022 (GLOBE NEWSWIRE) -- Kreation, in collaboration with international rap star, TYGA, today announces the highly anticipated June 17, 2022 release of the 'Ten Thousand ...",https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA2l3QtDMD;_ylu=Y29sbwNncTEEcG9zAzUEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2fwww.morningstar.com%2fnews%2fglobe-newswire%2f8573928%2ftyga-drops-his-highly-anticipated-pharaoh-inspired-nft-collection-17-june-2022-5-pm-bst/RK=2/RS=tY4B8pM9.pOzjxCGIqQbXz1Rw14-
Leading Web3 Marketing Agency To Share Secret Sauce At Upcoming NFT Conference in NYC,WFMZ Eastern Pennsylvania and Western New Jersey,· 8 hours ago,"At the highly anticipated NFT conference in New York City, Ty Smith, CEO and Founder of Coinbound,...",https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA213QtDMD;_ylu=Y29sbwNncTEEcG9zAzYEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2fwww.wfmz.com%2fnews%2fpr_newswire%2fpr_newswire_entertainment%2fleading-web3-marketing-agency-to-share-secret-sauce-at-upcoming-nft-conference-in-nyc%2farticle_a224196f-f21d-5888-9a92-9b6f3dbca292.html/RK=2/RS=3ot3z4c9JHwfEVuyrqO.5RhBVFQ-
I went to a physical NFT gallery where digital art was displayed on TV screens. It felt completely...,Business Insider via Yahoo Finance,· 8 hours ago,"The NFT art gallery at consensus 2022 in Austin, Texas.Katie Canales/Insider I went to a physical...",https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA3V3QtDMD;_ylu=Y29sbwNncTEEcG9zAzcEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fwent-physical-nft-gallery-where-194359152.html%3ffr%3dsycsrp_catchall/RK=2/RS=rJGGQOv9jEK_vbHMlShYsIhWZd8-
Vibrant: The new NFT event shining amid the financial crisis,The Cointelegraph,· 10 hours ago,The NFT event in Latin America manages to be a success in chaotic times. The collapse of most...,https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA313QtDMD;_ylu=Y29sbwNncTEEcG9zAzgEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2fcointelegraph.com%2fpress-releases%2fvibrant-the-new-nft-event-shining-amid-the-financial-crisis/RK=2/RS=hlhmEvQKd3lyduZ2EgQajffmNjU-
Global NFT Market To Grow More Than 3-Fold To $13.6 Billion By 2027: Report,International Business Times,· 17 hours ago,A new report says the global NFT (non-fungible tokens) market size is expected to grow to $13.6...,https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA4V3QtDMD;_ylu=Y29sbwNncTEEcG9zAzkEdnRpZAMEc2VjA3Ny/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2fwww.ibtimes.com%2fglobal-nft-market-grow-more-3-fold-136-billion-2027-report-3541643/RK=2/RS=mTO5d.4rMFv1G8Y7i1hmTrUl58o-
A Manhattan Landlord Listed His Office Building in ETH as an NFT. Then Its Price Dropped $12M,CoinDesk via Yahoo Finance,· 1 day ago,"A New York City office building went on sale for $29 million two weeks ago, but with a Web 3 twist:...",https://r.search.yahoo.com/_ylt=AwrXoCHF86tidlAA413QtDMD;_ylu=Y29sbwNncTEEcG9zAzEwBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1655465029/RO=10/RU=https%3a%2f%2ffinance.yahoo.com%2fnews%2fmanhattan-landlord-listed-office-building-180138566.html%3ffr%3dsycsrp_catchall/RK=2/RS=Omyfeih6LNFhy1W3j4XJvoCdWeQ-
