Description,Price,Rating,ReviewCount,Url
Amazon Basics Rubber Encased Hex Dumbbell Hand Weight,$15.12,4.7,"33,630",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A065855629J0BCY6U7A4T&url=%2FAmazonBasics-Rubber-Encased-Dumbbell-Weight%2Fdp%2FB074DZ65J3%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddumbbells%26qid%3D1655265536%26sr%3D8-1-spons%26psc%3D1&qualifier=1655265536&id=7601675721803659&widgetName=sp_atf
"FLYBIRD Adjustable Dumbbell,25/55lb Single Dumbbell for Men and Women with Anti-Slip Metal Handle,Fast Adjust Weight by Turning Handle,Black Dumbbell with Tray Suitable for Full Body Workout Fitness",$109.99,4.7,"3,237",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09881031IAT9HGCQ16NF&url=%2FFLYBIRD-Adjustable-Dumbbells-Dumbbell-Anti-Slip%2Fdp%2FB088WS6QRD%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Ddumbbells%26qid%3D1655265536%26sr%3D8-2-spons%26psc%3D1&qualifier=1655265536&id=7601675721803659&widgetName=sp_atf
"VIVITORY Dumbbell Sets Adjustable Weights, Free Weights Dumbbells Set with Connector, Non-Rolling Adjustable Dumbbell Set, Dumbbells Weights Set for Home Gym, 22 to 66 Lbs, Hexagon Shape, Cement Mixture",$87.99,4.3,"1,811",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0486240DP06EDHMLELE&url=%2FVivitory-Dumbbells-Adjustable-Connecting-Equipment%2Fdp%2FB089NNQX6Y%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Ddumbbells%26qid%3D1655265536%26sr%3D8-3-spons%26psc%3D1&qualifier=1655265536&id=7601675721803659&widgetName=sp_atf
Yes4All Dumbbell Hex Rubber Grip/ Heavy Weight Urethane Dumbbell and Combo Kettle Grip for Multifunctional Full Body Workout and Strength Training,$33.43,4.3,22,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06766563TIQ5WDO04R9O&url=%2FYes4All-Dumbbell-Urethane-PEVA-10lbs%2Fdp%2FB091PNY4CV%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Ddumbbells%26qid%3D1655265536%26sr%3D8-4-spons%26psc%3D1&qualifier=1655265536&id=7601675721803659&widgetName=sp_atf
Amazon Basics Rubber Encased Hex Dumbbell Hand Weight,$24.98,4.7,"33,630",https://www.amazon.com/AmazonBasics-Rubber-Encased-Dumbbell-Weight/dp/B074DZ6NGS/ref=sr_1_5?keywords=dumbbells&qid=1655265536&sr=8-5
Bowflex SelectTech 552 Adjustable Dumbbell,$379.00,4.8,"17,549",https://www.amazon.com/Bowflex-SelectTech-Adjustable-Dumbbells-Pair/dp/B001ARYU58/ref=sr_1_6?keywords=dumbbells&qid=1655265536&sr=8-6
"Portzon 10 Colors Options Compatible with Set of 2 Neoprene Dumbbell,1-15 LB, Anti-Slip, Anti-roll, Hex Shape",$12.26,4.8,"27,582",https://www.amazon.com/Neoprene-Dumbbell-Weights-Anti-slip-Anti-roll/dp/B087JDLWLQ/ref=sr_1_7?keywords=dumbbells&qid=1655265536&sr=8-7
"Yes4All Adjustable Dumbbell/ Selectorized Dumbbell 25, 40, 50, 52.5, 55, 60, 100, 105 to 200lbs with Connector Options for Strength Training",$62.20,4.5,"15,556",https://www.amazon.com/52-5-Adjustable-Cast-Iron-Dumbbell/dp/B009GC76QO/ref=sr_1_8?keywords=dumbbells&qid=1655265536&sr=8-8
"BIERDORF Adjustable Weights Dumbbells Set, Classic Ink Rose Free Weights 3-In-1 Set Barbell 44/45/66lb, Home Fitness Weight Set Gym Workout Exercise Training With Connecting Rod For Men Women",$84.99,4.4,217,https://www.amazon.com/BIERDORF-Adjustable-Dumbbells-Barbells-Exercise/dp/B09F37DPZX/ref=sr_1_9?keywords=dumbbells&qid=1655265536&sr=8-9
"Balelinko Hex Dumbbells Set Free Weight Rubber Coated Cast Iron Hex Black Dumbbell (3lb, 5lb, 8lb, 10lb, 12lb, 15lb, 20lb, 25lb, 30lb, 35lb, 40lb, 50lb, 55lb, 60lb, 65lb, 75lb, 80lb)",$50.99,4.7,520,https://www.amazon.com/Balelinko-Dumbbells-Weights-Handles-Dumbbell/dp/B095VMZSBV/ref=sr_1_10?keywords=dumbbells&qid=1655265536&sr=8-10
Amazon Basics Neoprene Workout Dumbbell,$33.63,4.8,"65,141",https://www.amazon.com/AmazonBasics-Pound-Neoprene-Dumbbells-Weights/dp/B01LR5SAIA/ref=sr_1_11?keywords=dumbbells&qid=1655265536&sr=8-11
Yes4All Hexagon Neoprene Coated Dumbbell (Pair) - Multiple Weight Options,$17.49,4.7,"4,272",https://www.amazon.com/Yes4All-Dumbbells-Neoprene-Slip-Grip/dp/B00A6MKU6G/ref=sr_1_12?keywords=dumbbells&qid=1655265536&sr=8-12
