Username,Id,PostDate,Text,Reply,Retweet,Like,TweetURL
savageFingers,@savage_fingers,2022-06-08T19:32:40.000Z,"Did you notice 
@elonmusk
 has changed twitter like button fromto  and  the retweet to  

Neymar to chelsea odoi WhatsApp Cristiano Ronaldo 222m Mbappe Yaw tog chelsea champions Man City Cup",218,"1,699",24K,https://twitter.com/savage_fingers
Elon Musk,@elonmusk,2022-06-15T23:42:45.000Z,"I’m dressing as a sink on Halloween, as they will have no choice but to let me in","7,606","7,617",97.2K,https://twitter.com/elonmusk
Asmat Ullah,@Asmat_ITP,2022-05-10T19:16:01.000Z,"Did you notice that 
@elonmusk
 changed the twitter LIKE button color from  to 

And if you observe, it shows a spaceship icon when you retweet
#WhatsApp #Twitter",890,"3,903",42.8K,https://twitter.com/Asmat_ITP
Elon Musk,@elonmusk,2022-06-15T00:54:50.000Z,Cryptonight,18.4K,24.7K,253.9K,https://twitter.com/elonmusk
Mayra Flores For Congress,@MayraFlores2022,2022-06-15T12:10:41.000Z,"I woke up this morning still feeling surreal from everything that's happened over the last 24 hours. Earning Elon Musk’s vote was just the icing on the cake and I can't wait to work with his team! The American Dream is worth fighting for  
@elonmusk
#SaveAmerica #TX34","4,132",10K,81.1K,https://twitter.com/MayraFlores2022
Daily Wire,@realDailyWire,2022-06-15T12:17:33.000Z,Elon Musk Tips Hat Toward Ron DeSantis To Be Next President Of The United States http://dlvr.it/SSDWzr,"1,121","2,966",34.9K,https://twitter.com/realDailyWire
Elon Musk,@elonmusk,2022-06-15T02:19:15.000Z,Starship SN24 in the High Bay,"5,447",10.1K,140.5K,https://twitter.com/elonmusk
Elon Musk,@elonmusk,2022-06-15T07:28:43.000Z,"I voted for Mayra Flores – first time I ever voted Republican. 

Massive red wave in 2022.","7,864",23.3K,160.3K,https://twitter.com/elonmusk
Elon Musk,@elonmusk,2022-06-11T22:24:31.000Z,Humor is one of the great joys of life!,23.5K,52.6K,468.7K,https://twitter.com/elonmusk
Elon Musk,@elonmusk,2022-06-16T07:44:28.000Z,Civilization sterilized,"2,111","1,514",14.9K,https://twitter.com/elonmusk
Elon Musk,@elonmusk,2022-06-07T15:32:30.000Z,YouTube seems to be nonstop scam ads,57.7K,62.5K,649K,https://twitter.com/elonmusk
Elon Musk,@elonmusk,2022-06-11T04:26:22.000Z,"33 Raptor rocket engines, each producing 230 metric tons of force",11.4K,15.6K,187K,https://twitter.com/elonmusk
Elon Musk,@elonmusk,2022-06-12T20:47:10.000Z,Words are beautiful,25.4K,25.7K,280.5K,https://twitter.com/elonmusk
Elon Musk,@elonmusk,2022-06-16T00:37:42.000Z,"At this point, I should just wear a monocle and a top hat haha","3,701","2,799",63.4K,https://twitter.com/elonmusk
Elon Musk,@elonmusk,2022-06-16T07:43:41.000Z,"Amazing flying scenes were to be expected, but the writing is good too",523,456,11.4K,https://twitter.com/elonmusk
HYPEX,@HYPEX,2022-05-05T20:32:44.000Z,no way elon musk already changed the like button's color,662,548,50K,https://twitter.com/HYPEX
Jennifer Sey,@JenniferSey,2022-06-16T03:21:19.000Z,"Hey 
@Twitter
 … what exactly is misinformation here? 

-FDA approved 
-suspended in other countries for under 30 
-now giving in US to babies 

Perhaps admit you just suspend people who say things you don’t like. 
@elonmusk
 look ",38,595,"1,848",https://twitter.com/JenniferSey
Nurlinツ❁,@nurlin_norbert,2022-04-27T04:37:26.000Z,"Elon Musk changed the Like button into Tesla. Damn tap  and see it  
#Elonmusk #Beast",233,290,"8,012",https://twitter.com/nurlin_norbert
Elon Musk,@elonmusk,2022-06-15T14:33:22.000Z,"Buyers of competing electric cars receive a $7500 tax credit, but Tesla does not","4,117","3,996",36.5K,https://twitter.com/elonmusk
Jennifer Sey,@JenniferSey,2022-06-16T03:21:19.000Z,"Hey 
@Twitter
 … what exactly is misinformation here? 

-FDA approved 
-suspended in other countries for under 30 
-now giving in US to babies 

Perhaps admit you just suspend people who say things you don’t like. 
@elonmusk
 look ",38,595,"1,852",https://twitter.com/JenniferSey
LessGovMoreFun,@LessGovMoreFun,2022-06-10T11:09:02.000Z,"""In Texas, it took us 18 months to build a Gigafactory.  In California, we’d still be working on the permits.""   --Elon Musk","2,194","8,353",63.9K,https://twitter.com/LessGovMoreFun
Elon Musk,@elonmusk,2022-06-11T21:19:11.000Z,"We are simultaneously being told that gender differences do not exist and that genders are so profoundly different that irreversible surgery is the only option.

Perhaps someone wiser than me can explain this dichotomy.","9,298",21.5K,124.6K,https://twitter.com/elonmusk
Palmer Report,@PalmerReport,2022-06-16T00:45:20.000Z,No surprise Elon Musk is supporting Ron DeSantis. They're both unhinged right wing extremists pretending to be centrists. They're both vindictively insecure and easily baited into petty feuds. And they each make themselves more unpopular every time they open their ignorant mouth.,130,"1,175","4,523",https://twitter.com/PalmerReport
BOUTROS ⽊,@boutros555,2022-06-16T03:05:30.000Z,"Hey 
@TwitterSupport
, you’re feeding conspiracy theory trolls, and proving 
@elonmusk
 right, when you suspend accounts for making simple statements of fact.",25,341,"1,317",https://twitter.com/boutros555
kai's coconuts,@kaleochu,2022-06-16T04:45:07.000Z,elon musk's replies:,25,9,66,https://twitter.com/kaleochu
Jack Cocchiarella,@JDCocchiarella,2022-06-16T03:23:23.000Z,Elon Musk is making a great case for why we should tax the hell out of billionaires.,68,530,"3,074",https://twitter.com/JDCocchiarella
Newsmax,@newsmax,2022-06-15T12:44:15.000Z,".
@elonmusk
 said early Wednesday he was leaning toward supporting Florida GOP Gov. Ron DeSantis in the 2024 presidential election. https://bit.ly/3NXaFsb",269,501,"4,508",https://twitter.com/newsmax
Elon Musk,@elonmusk,2022-06-14T03:45:21.000Z,A platform cannot be considered inclusive or fair if it is biased against half the country,"2,377",12.8K,62.5K,https://twitter.com/elonmusk
Mohammad Asif Ali,@Mohamma69640320,2022-06-16T02:26:40.000Z,"#BabyDogeCoin #BabyDogeArmy

Burn 50 Quadrillion 
Big Announcement

Coming Soon 100%  
On 28 june #BabyDogeArmy  going to celebrate 
@elonmusk
  50th birthday by burning 50 quad token ",7,28,116,https://twitter.com/Mohamma69640320
888 Good Troubles,@LebergerDavid,2022-06-16T06:11:03.000Z,Unpleasant and painfully boring Ron DeSantis thought calling Elon Musk an African-American and giggling like a shy pre-pubescent boy was cute. No it wasn’t. You racist f*ck!,2,10,32,https://twitter.com/LebergerDavid
Omo Babá Álajo,@Djcyber_,2022-06-16T07:48:31.000Z,"Me anytime I open new twitter account  

Elon Musk:",5,85,102,https://twitter.com/Djcyber_
The Post Millennial,@TPostMillennial,2022-06-16T01:21:36.000Z,"Mayra Flores reacts to 
@elonmusk
 voting for her: ""I was honestly so excited when I heard about it.""",42,154,"1,176",https://twitter.com/TPostMillennial
Benny Johnson,@bennyjohnson,2022-06-16T03:42:32.000Z,"Elon Musk is meeting with Twitter employees tomorrow.

How do you think it will go?",633,446,"3,279",https://twitter.com/bennyjohnson
서 지아,@JiaCalss,2022-06-16T02:59:27.000Z,"If Elon musk is ""that smart"" then why tf doesn't he make 0 cal brownies or Oreos?",10,21,194,https://twitter.com/JiaCalss
Matt Wallace,@MattWallace888,2022-06-16T05:44:57.000Z,Elon Musk just confirmed he still plans to buy Twitter!,48,59,574,https://twitter.com/MattWallace888
Elon Musk,@elonmusk,2022-06-16T00:42:38.000Z,I’m the absolute best at humility!,"1,109",742,11.6K,https://twitter.com/elonmusk
