Username,Id,PostDate,Text,Reply,Retweet,Like,TweetURL
Gmane,@Gmane07,2022-06-12T23:19:53.000Z,"With a perfect record of 50-0 and having totaled over 1.1B dollars in career earnings in a 20 year span

The Hall of Fame Career of Floyd Mayweather

A Thread:",383,12.4K,62.9K,https://twitter.com/Gmane07
Merkaba X,@_Merkaba_X,2022-06-08T16:36:38.000Z,I wish Floyd Mayweather Sr was healthy enough to continue working with Haney…,12,141,679,https://twitter.com/_Merkaba_X
My Mixtapez,@mymixtapez,2022-06-14T22:09:23.000Z,NBA Youngboy and Yaya Mayweather’s son is already ready to enter the boxing ring ,61,619,"4,939",https://twitter.com/mymixtapez
Shannon Sharpe Burner Account,@shannonsharpeee,2022-06-08T01:25:34.000Z,Conor McGregor & Floyd Mayweather Promo was the best ,14,202,764,https://twitter.com/shannonsharpeee
Gmane,@Gmane07,2022-06-13T02:33:26.000Z,"After being head butted by Victor Ortiz, Floyd Mayweather Knocks him TF out as he tried to hug it out with Floyd 

""Protect yourself at all times""",11,673,"2,481",https://twitter.com/Gmane07
Front Office Sports,@FOS,2022-06-15T23:21:00.000Z,"Floyd Mayweather has an estimated net worth of $450 million and projected career earnings of $1.1 billion.

Now, he wants to add an NBA team to his portfolio.
@APOOCH
 with more on Mayweather ",1,9,13,https://twitter.com/FOS
Gmane,@Gmane07,2022-06-13T03:12:57.000Z,"A fight after doing Jail time, Floyd Mayweather puts on a Masterclass vs Canelo Alvarez",25,925,"3,248",https://twitter.com/Gmane07
Boxing King Media,@TheBoxingKing1,2022-06-11T09:56:44.000Z,"It’s one thing taking advice but actually listening to it and manifesting is not easy . 
@Realdevinhaney
 soaked up all the Knowledge from 
@FloydMayweather
 ",17,222,"1,415",https://twitter.com/TheBoxingKing1
FIGHT HUB MARCOS,@heyitsmarcosv,2022-06-15T23:57:25.000Z,"Floyd Sr showing me the ring 
@FloydMayweather
 gave him after his induction into the hall of fame",10,35,264,https://twitter.com/heyitsmarcosv
Michael Benson,@MichaelBensonn,2022-06-14T13:01:22.000Z,"Floyd Mayweather with a speech about the number of belts and sanctioning fees in boxing: ""We're watering the sport down, everybody is champion now. We have to clean the sport of boxing up.""

[ 
@RIZIN_PR
]",124,710,"3,277",https://twitter.com/MichaelBensonn
Boxing undefeated,@gothands4you,2022-06-15T02:51:14.000Z,"@Realdevinhaney
 I Agree With 
@FloydMayweather
 There Are Too Many Belts In #Boxing",124,710,1,https://twitter.com/gothands4you
DAZN Boxing,@DAZNBoxing,2022-06-13T14:30:00.000Z,An emotional Floyd Mayweather speaking after his inclusion into the International Boxing Hall of Fame ,27,232,"2,352",https://twitter.com/DAZNBoxing
